Datetime (JST),Seller ID,Brand,Price Range,Pages,Platform,Mode,Output Path
2025/05/29 15:06:46,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:09:54,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:12:53,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:14:04,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 15:52:03,,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/29 16:03:46,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/30 08:12:30,ASOUBI77KWLWI,Nintendo,70-800,20,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/30 16:38:41,ASOUBI77KWLWI,Nintendo,70-800,5,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/30 17:12:29,ASOUBI77KWLWI,Nintendo,70-800,5,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/05/31 09:54:10,ASOUBI77KWLWI,Nintendo,70-800,3,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/01 07:53:41,A2UNWZZYZVYWU0,,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/01 14:13:02,A2UNWZZYZVYWU0,,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/01 15:12:43,A2UNWZZYZVYWU0,,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/01 15:13:12,A2UNWZZYZVYWU0,,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 08:56:17,A2UNWZZYZVYWU0,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 08:56:54,A2UNWZZYZVYWU0,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 08:57:33,A2UNWZZYZVYWU0,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:31:20,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:33:17,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:45:04,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:46:28,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:55:05,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:55:57,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:57:24,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 09:58:24,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:13:25,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:14:04,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:14:40,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:15:09,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:31:02,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:32:17,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:40:27,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:40:35,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:41:30,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:56:11,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 10:57:02,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:12:46,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:18:08,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:19:49,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:35:50,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:36:54,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:39:26,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 11:56:54,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 12:56:29,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:09:40,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:10:55,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:13:31,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:14:09,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:15:02,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:23:09,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:24:02,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:26:01,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:26:19,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:28:51,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:45:20,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:47:29,,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:49:04,,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:49:43,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:50:16,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 13:54:57,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:44:28,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:44:44,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:45:13,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:45:51,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:46:38,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:47:38,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:48:50,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:49:15,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 14:50:52,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 15:47:40,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 15:48:24,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 15:49:15,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:13:34,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:14:28,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:15:22,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:15:53,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:23:36,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:26:15,A2K69GP4EI3XWZ,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:27:05,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:29:53,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:30:54,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:32:11,,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:32:21,,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:37:54,,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:38:17,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:38:57,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:39:22,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:40:42,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:41:00,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
